610	0	550
610	1	389
610	2	12
610	3	11
517	1	602
517	1	563
517	2	608
231	0	241
231	0	169
231	0	279
231	0	430
231	0	77
231	0	122
231	0	193
231	0	53
231	0	115
231	0	477
231	0	491
231	0	467
231	0	510
231	0	486
231	0	250
231	0	509
231	0	583
231	0	237
231	0	108
231	0	412
231	0	195
231	0	119
231	0	437
231	0	88
231	1	566
231	1	399
231	2	1
231	3	176
464	0	147
464	0	88
464	0	358
464	0	404
464	0	173
464	0	241
464	0	434
464	0	78
464	0	450
464	0	169
464	0	314
464	0	180
464	0	25
464	0	268
464	0	164
464	0	466
464	0	430
464	0	31
464	0	378
464	0	77
464	0	535
464	0	312
464	0	276
464	0	122
464	0	477
464	1	399
464	1	566
464	4	576
464	4	500
464	4	474
464	4	485
464	2	228
464	3	5
206	0	122
206	1	566
206	4	68
206	2	329
206	3	347
30	1	389
30	4	598
30	4	50
30	4	24
30	4	547
30	4	527
30	4	483
30	4	411
30	4	600
30	4	344
30	4	171
30	4	504
30	4	57
30	4	227
30	4	606
30	4	503
30	4	418
30	4	612
30	4	564
30	4	43
30	4	579
30	4	530
30	4	349
30	4	62
30	4	408
30	4	341
30	4	149
30	4	17
30	4	242
30	4	417
30	4	360
30	4	4
30	4	361
30	4	143
30	4	191
30	4	571
30	2	324
30	3	139
138	1	399
138	4	207
138	4	95
138	2	536
138	3	540
48	1	389
48	4	246
48	4	6
48	4	571
48	2	569
48	3	90
116	1	384
116	4	310
116	4	326
116	4	528
116	4	184
116	4	473
116	4	409
116	4	36
116	4	534
116	4	252
116	2	253
116	3	392
76	0	99
76	0	174
76	0	186
76	0	147
76	0	476
76	0	241
76	0	169
76	0	268
76	0	430
76	0	77
76	0	122
76	0	53
76	1	399
76	1	566
76	4	474
76	2	607
76	3	5
391	0	407
391	0	54
391	0	435
391	0	309
391	0	53
391	0	552
391	0	535
391	0	185
391	0	470
391	0	193
391	0	223
391	0	162
391	0	267
391	0	126
391	0	115
391	0	166
391	1	298
391	1	566
391	4	595
391	4	183
391	4	47
391	4	591
391	4	354
391	4	474
391	2	469
391	3	58
379	1	384
379	1	281
379	1	555
379	4	155
379	4	144
