10108	10108
9417	9417
10000	10000
9796	9796
9687	9687
9801	9801
9653	9653
10160	10160
9804	9804
10282	10282
10019	10019
9819	9819
815	815
9777	9777
9800	9800
9970	9970
9979	9979
9709	9709
9762	9762
9995	9995
9646	9646
10116	10116
9816	9816
10068	10068
9697	9697
10208	10208
10008	10008
9747	9747
9775	9775
9808	9808
9920	9920
10186	10186
9654	9654
9789	9789
10322	10322
9978	9978
9616	9616
10105	10105
10018	10018
827	827
10044	10044
10030	10030
9787	9787
9711	9711
9797	9797
9935	9935
10004	10004
9703	9703
9957	9957
10224	10224
9749	9749
10052	10052
10034	10034
10111	10111
10207	10207
9814	9814
4942	4942
9713	9713
9835	9835
819	819
9662	9662
10013	10013
9710	9710
10028	10028
9895	9895
9936	9936
9830	9830
9788	9788
9657	9657
9738	9738
9732	9732
9951	9951
9812	9812
9748	9748
10143	10143
9700	9700
9959	9959
10132	10132
10156	10156
9722	9722
9671	9671
9632	9632
10266	10266
9860	9860
10082	10082
9631	9631
9665	9665
10010	10010
10138	10138
9871	9871
831	831
9815	9815
10103	10103
10278	10278
10215	10215
9704	9704
9980	9980
10134	10134
10077	10077
10162	10162
9721	9721
10249	10249
10170	10170
10086	10086
9826	9826
9397	9397
9821	9821
9419	9419
10146	10146
9752	9752
10245	10245
9794	9794
10063	10063
10248	10248
10104	10104
10097	10097
9958	9958
9952	9952
9937	9937
10144	10144
10155	10155
10092	10092
10087	10087
10060	10060
9736	9736
9810	9810
10118	10118
9769	9769
10032	10032
10073	10073
9629	9629
10125	10125
9618	9618
10197	10197
10195	10195
10178	10178
9996	9996
9849	9849
9921	9921
9867	9867
10324	10324
9795	9795
9912	9912
9686	9686
9655	9655
9754	9754
9783	9783
10100	10100
9993	9993
9726	9726
9647	9647
9682	9682
10070	10070
10029	10029
9630	9630
9656	9656
10268	10268
9940	9940
10056	10056
9999	9999
9668	9668
9917	9917
10101	10101
9941	9941
10168	10168
6960	6960
10080	10080
10151	10151
9683	9683
10096	10096
9734	9734
9746	9746
9990	9990
10157	10157
10121	10121
830	830
3269	3269
9923	9923
9822	9822
9972	9972
10169	10169
9785	9785
9877	9877
9676	9676
9667	9667
10150	10150
10074	10074
9778	9778
9966	9966
10192	10192
9971	9971
9679	9679
9891	9891
10183	10183
10265	10265
10139	10139
10131	10131
10115	10115
10021	10021
10237	10237
10071	10071
9772	9772
9962	9962
10129	10129
10035	10035
10041	10041
9901	9901
9637	9637
10110	10110
10124	10124
10014	10014
10114	10114
10210	10210
9786	9786
9831	9831
9672	9672
9875	9875
10043	10043
9685	9685
10089	10089
9986	9986
9635	9635
9790	9790
10141	10141
9684	9684
10079	10079
10177	10177
9692	9692
9642	9642
9828	9828
9740	9740
9899	9899
9715	9715
9942	9942
10033	10033
10161	10161
10002	10002
10130	10130
10088	10088
10213	10213
9773	9773
10142	10142
9681	9681
9619	9619
9856	9856
10271	10271
9669	9669
10023	10023
10055	10055
10283	10283
10203	10203
10038	10038
9650	9650
9627	9627
10016	10016
9869	9869
10223	10223
9807	9807
9820	9820
9421	9421
9398	9398
9768	9768
9976	9976
9896	9896
9982	9982
9643	9643
9763	9763
10120	10120
10094	10094
10093	10093
9698	9698
9791	9791
9658	9658
10126	10126
9764	9764
9696	9696
10182	10182
9854	9854
10025	10025
10189	10189
10214	10214
9950	9950
9857	9857
9992	9992
10106	10106
10269	10269
9723	9723
9760	9760
9611	9611
9876	9876
10193	10193
9839	9839
9735	9735
10053	10053
10006	10006
10128	10128
10066	10066
9766	9766
9967	9967
10191	10191
9750	9750
5036	5036
821	821
822	822
10332	10332
9949	9949
10158	10158
9878	9878
10200	10200
10167	10167
9652	9652
820	820
10148	10148
10176	10176
10154	10154
10047	10047
10113	10113
9614	9614
9893	9893
10012	10012
9724	9724
10323	10323
6961	6961
10059	10059
9609	9609
9757	9757
825	825
9864	9864
9998	9998
6958	6958
9670	9670
10046	10046
9799	9799
9699	9699
9776	9776
10075	10075
10221	10221
10304	10304
9758	9758
10036	10036
9774	9774
9742	9742
9802	9802
9608	9608
9693	9693
10095	10095
10198	10198
832	832
10040	10040
9727	9727
10009	10009
9782	9782
10179	10179
10107	10107
9702	9702
9728	9728
9975	9975
9739	9739
10173	10173
9759	9759
9708	9708
9680	9680
10209	10209
9659	9659
10057	10057
828	828
9678	9678
9633	9633
9988	9988
10174	10174
9707	9707
10037	10037
10011	10011
10005	10005
9837	9837
9719	9719
10050	10050
9649	9649
10205	10205
9961	9961
9903	9903
10065	10065
9688	9688
9994	9994
9933	9933
10172	10172
10153	10153
9612	9612
9977	9977
9890	9890
10267	10267
9960	9960
9882	9882
10216	10216
9636	9636
10049	10049
10003	10003
10117	10117
9781	9781
9968	9968
9954	9954
10001	10001
10083	10083
10194	10194
10212	10212
10181	10181
10045	10045
10188	10188
9689	9689
824	824
9922	9922
9695	9695
10140	10140
9850	9850
10084	10084
9674	9674
9792	9792
9725	9725
9712	9712
9894	9894
9418	9418
10109	10109
9694	9694
10123	10123
10135	10135
10015	10015
9829	9829
9805	9805
10064	10064
10022	10022
10078	10078
9664	9664
9620	9620
10206	10206
10211	10211
10187	10187
9420	9420
10099	10099
10061	10061
10246	10246
9985	9985
9953	9953
9640	9640
9997	9997
10072	10072
9753	9753
10039	10039
